Input,Keyword,CPC,"Search Volume",Source,"Monthly January","Monthly February","Monthly March","Monthly April","Monthly May","Monthly June","Monthly July","Monthly August","Monthly September","Monthly October","Monthly November","Monthly December"
hohner,hohner,"2.02 Kč",160,Google,170,140,140,220,140,140,140,110,170,170,170,170
hohner,"hohner harmonica","1.42 Kč",90,Google,110,110,70,90,90,70,70,70,90,110,110,130
hohner,"foukací harmoniky hohner","1.57 Kč",80,Google,80,80,130,60,60,60,80,50,50,80,130,110
hohner,"foukací harmonika hohner","1.57 Kč",80,Google,80,80,130,60,60,60,80,50,50,80,130,110
hohner,"harmonika hohner","1.34 Kč",70,Google,70,90,70,70,90,70,70,70,50,70,90,70
hohner,"harmoniky hohner","1.34 Kč",70,Google,70,90,70,70,90,70,70,70,50,70,90,70
hohner,"akordeon hohner 80 basów","0.00 Kč",70,Google,50,90,70,70,40,50,40,70,90,70,70,90
hohner,"hohner special 20","1.79 Kč",70,Google,70,70,100,70,70,50,50,50,40,70,100,70
hohner,"kytary hohner","1.79 Kč",40,Google,40,50,30,20,20,30,30,40,30,70,70,50
hohner,"kytara hohner","1.79 Kč",40,Google,40,50,30,20,20,30,30,40,30,70,70,50
hohner,"akordeon hohner bazar","0.00 Kč",30,Google,40,20,20,40,20,20,20,10,10,40,60,40
hohner,"tahací harmonika hohner","1.34 Kč",30,Google,40,20,20,10,30,30,30,20,10,80,30,20
hohner,"akordeon hohner","0.00 Kč",30,Google,20,20,20,30,20,30,20,20,30,40,40,30
hohner,"hohner marine band","1.12 Kč",30,Google,20,30,30,40,30,30,20,30,20,30,20,20
hohner,"hohner melodica","0.00 Kč",20,Google,20,20,20,10,20,20,20,20,20,20,30,40
hohner,"hohner melodika","0.00 Kč",20,Google,20,20,20,10,20,20,20,20,20,20,30,40
hohner,"hohner kytara","0.90 Kč",20,Google,30,20,10,20,20,20,10,10,20,30,30,20
hohner,"hohner akordeon","2.24 Kč",20,Google,30,20,30,20,30,10,10,10,20,30,20,30
hohner,"hohner special 20 c","2.02 Kč",20,Google,40,20,20,10,20,10,10,20,10,30,30,30
hohner,"hohner accordeon","84.22 Kč",20,Google,10,10,20,50,20,10,10,20,10,20,20,10
hohner,"hohner accordions","0.00 Kč",20,Google,20,10,20,20,20,10,10,20,10,20,20,20
hohner,"hohner accordion","0.00 Kč",20,Google,10,10,20,50,20,10,10,20,10,20,20,10
hohner,"hohner bass","0.00 Kč",20,Google,30,30,10,10,40,10,10,30,10,30,10,10
hohner,"heligonka hohner","0.00 Kč",10,Google,10,10,10,20,10,10,10,10,10,10,10,10
hohner,"hohner golden melody","0.00 Kč",10,Google,10,10,10,10,10,10,10,10,10,10,10,10
hohner,"hohner b2a","0.00 Kč",10,Google,10,10,10,10,10,20,10,10,10,10,20,10
hohner,"hohner blues harp","0.00 Kč",10,Google,10,10,10,10,10,10,10,10,20,20,10,20
hohner,"hohner rocket","0.00 Kč",10,Google,20,20,20,10,10,10,10,10,10,10,10,10
hohner,"flétna hohner","5.82 Kč",10,Google,10,10,10,10,10,10,10,10,20,10,20,10
hohner,"hohner clavinet d6","0.00 Kč",10,Google,10,10,30,20,10,10,10,10,0,10,10,10
